epoch,accuracy,binary_crossentropy,dice_loss,loss,sensitivity,specificity,val_accuracy,val_binary_crossentropy,val_dice_loss,val_loss,val_sensitivity,val_specificity
5,0.9806660413742065,0.29822587966918945,1.0,0.64911288022995,0.0,1.0,0.9821497797966003,0.27533838152885437,1.0,0.6376691460609436,0.0,1.0
6,0.9806070923805237,0.2991349995136261,1.0,0.6495675444602966,0.0,1.0,0.982033371925354,0.2771344780921936,1.0,0.6385672092437744,0.0,1.0
7,0.9809242486953735,0.2942451536655426,1.0,0.6471226811408997,0.0,1.0,0.9822391867637634,0.2739613354206085,1.0,0.6369806528091431,0.0,1.0
8,0.9808354377746582,0.2956133782863617,1.0,0.647806704044342,0.0,1.0,0.9818537831306458,0.2799043655395508,1.0,0.6399521827697754,0.0,1.0
9,0.9810371398925781,0.2924982011318207,1.0,0.6462490558624268,0.0,1.0,0.9824455976486206,0.2707749009132385,1.0,0.6353874206542969,0.0,1.0
